taxel,zone,zone_name,row,col,mu,sigma,own_rise,cross_rise,status
394,7,Medio — Distal,1,7,0.000,0.000,74.0,0.0,ok
395,7,Medio — Distal,2,0,0.000,0.000,216.0,0.0,ok
396,7,Medio — Distal,2,1,0.000,0.000,142.0,0.0,ok
397,7,Medio — Distal,2,2,0.000,0.000,172.0,0.0,ok
398,7,Medio — Distal,2,3,0.000,0.000,210.0,0.0,ok
399,7,Medio — Distal,2,4,0.000,0.000,252.0,0.0,ok
400,7,Medio — Distal,2,5,0.000,0.000,134.0,0.0,ok
401,7,Medio — Distal,2,6,0.000,0.000,232.0,0.0,ok
402,7,Medio — Distal,2,7,0.000,0.000,225.0,0.0,ok
403,7,Medio — Distal,3,0,0.000,0.000,0.0,0.0,stuck_low
404,7,Medio — Distal,3,1,0.000,0.000,0.0,0.0,stuck_low
405,7,Medio — Distal,3,2,0.000,0.000,0.0,0.0,stuck_low
406,7,Medio — Distal,3,3,0.000,0.000,10.0,0.0,stuck_low
407,7,Medio — Distal,3,4,0.000,0.000,43.0,0.0,ok
408,7,Medio — Distal,3,5,0.000,0.000,0.0,0.0,stuck_low
409,7,Medio — Distal,3,6,0.000,0.000,0.0,0.0,stuck_low
410,7,Medio — Distal,3,7,0.000,0.000,0.0,0.0,stuck_low
411,7,Medio — Distal,4,0,0.000,0.000,354.0,0.0,ok
412,7,Medio — Distal,4,1,0.000,0.000,323.0,0.0,ok
413,7,Medio — Distal,4,2,0.000,0.000,153.0,0.0,ok
414,7,Medio — Distal,4,3,0.000,0.000,157.0,0.0,ok
415,7,Medio — Distal,4,4,0.000,0.000,143.0,0.0,ok
416,7,Medio — Distal,4,5,0.000,0.000,209.0,0.0,ok
417,7,Medio — Distal,4,6,0.000,0.000,492.0,0.0,ok
418,7,Medio — Distal,4,7,0.000,0.000,640.0,0.0,ok
419,7,Medio — Distal,5,0,0.000,0.000,263.0,0.0,ok
420,7,Medio — Distal,5,1,0.000,0.000,0.0,0.0,stuck_low
421,7,Medio — Distal,5,2,0.000,0.000,0.0,0.0,stuck_low
422,7,Medio — Distal,5,3,0.000,0.000,148.0,0.0,ok
423,7,Medio — Distal,5,4,0.000,0.000,39.0,0.0,ok
424,7,Medio — Distal,5,5,0.000,0.000,0.0,0.0,stuck_low
425,7,Medio — Distal,5,6,0.000,0.000,43.0,0.0,ok
426,7,Medio — Distal,5,7,0.000,0.000,337.0,0.0,ok
427,7,Medio — Distal,6,0,0.000,0.000,420.0,0.0,ok
428,7,Medio — Distal,6,1,0.000,0.000,437.0,0.0,ok
429,7,Medio — Distal,6,2,0.000,0.000,322.0,0.0,ok
430,7,Medio — Distal,6,3,0.000,0.000,219.0,0.0,ok
431,7,Medio — Distal,6,4,0.000,0.000,298.0,0.0,ok
432,7,Medio — Distal,6,5,0.000,0.000,390.0,0.0,ok
433,7,Medio — Distal,6,6,0.000,0.000,462.0,0.0,ok
434,7,Medio — Distal,6,7,0.000,0.000,626.0,0.0,ok
435,7,Medio — Distal,7,0,0.000,0.000,554.0,0.0,ok
436,7,Medio — Distal,7,1,0.000,0.000,442.0,0.0,ok
