t_s,fresh_pos,fresh_force,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5,cur
4.995371,0,0,95,58,92,98,430,1557,0,0,0,0,53,-8,73
4.999581,1,1,95,58,92,98,431,1557,0,0,0,0,54,-8,77
5.011936,0,0,95,58,92,98,431,1557,0,0,0,0,54,-8,77
5.021460,0,1,95,58,92,98,431,1557,-1,0,0,0,54,-8,77
5.026112,0,0,95,58,92,98,431,1557,-1,0,0,0,54,-8,44
5.030680,1,1,95,58,92,98,433,1557,-1,0,0,0,54,-9,44
5.043204,0,0,95,58,92,98,433,1557,-1,0,0,0,54,-9,44
5.052678,0,0,95,58,92,98,433,1557,-1,0,0,0,54,-9,44
5.057310,0,0,95,58,92,98,433,1557,-1,0,0,0,54,-9,78
5.061493,1,1,95,58,92,98,434,1557,-1,0,0,0,54,-8,78
5.073791,0,0,95,58,92,98,434,1557,-1,0,0,0,54,-8,78
5.083625,0,1,95,58,92,98,434,1557,0,0,0,0,54,-8,78
5.088569,1,0,95,58,92,98,436,1557,0,0,0,0,54,-8,46
5.092814,0,0,95,58,92,98,436,1557,0,0,0,0,54,-8,46
5.104409,0,0,95,58,92,98,436,1557,0,0,0,0,54,-8,46
5.108637,0,1,95,58,92,98,436,1557,-1,0,0,0,54,-8,46
5.116037,0,0,95,58,92,98,436,1557,-1,0,0,0,54,-8,70
5.120240,1,1,95,58,92,98,438,1557,-1,0,0,0,54,-9,70
5.134182,0,0,95,58,92,98,438,1557,-1,0,0,0,54,-9,70
5.138787,0,1,95,58,92,98,438,1557,0,0,0,0,54,-9,70
5.146975,0,0,95,58,92,98,438,1557,0,0,0,0,54,-9,57
5.151223,1,0,95,58,92,98,440,1557,0,0,0,0,54,-9,57
5.155434,0,0,95,58,92,98,440,1557,0,0,0,0,54,-9,57
5.166457,0,1,95,58,92,98,440,1557,-1,0,0,0,54,-9,57
5.176786,0,0,95,58,92,98,440,1557,-1,0,0,0,54,-9,57
5.181942,1,0,95,58,92,98,443,1557,-1,0,0,0,54,-9,66
5.186292,0,0,95,58,92,98,443,1557,-1,0,0,0,54,-9,66
5.197483,0,1,95,58,92,98,443,1557,0,0,0,0,54,-9,66
5.202078,0,1,95,58,92,98,443,1557,0,0,-1,0,54,-9,56
5.209201,1,0,95,58,92,98,445,1557,0,0,-1,0,54,-9,56
5.213354,0,0,95,58,92,98,445,1557,0,0,-1,0,54,-9,56
5.227272,0,0,95,58,92,98,445,1557,0,0,-1,0,54,-9,56
5.231554,0,1,95,58,92,98,445,1557,0,0,0,0,54,-9,56
