t_s,force4,force3,force2,pos,cur
3.635,453,282,423,612,0
3.638,453,282,423,612,0
3.641,453,282,423,612,0
3.644,453,282,423,612,0
3.656,453,282,423,612,0
3.658,453,282,423,612,0
3.667,453,282,423,612,0
3.669,453,282,423,612,0
3.673,453,282,423,612,0
3.676,453,282,423,612,0
3.688,453,282,423,612,0
3.691,453,282,423,612,0
3.699,453,282,423,612,0
3.702,453,282,423,612,0
3.704,453,282,423,612,0
3.705,453,282,423,612,0
3.716,453,282,423,612,0
3.719,453,282,423,612,0
3.721,453,282,423,612,0
3.728,453,282,423,612,0
3.730,453,282,423,612,0
3.732,453,282,423,612,0
3.735,453,282,423,612,0
3.738,453,282,423,612,0
3.750,453,282,423,612,0
3.752,453,282,423,612,0
3.761,453,282,423,612,0
3.763,453,282,423,612,0
3.765,453,282,423,612,0
3.767,453,282,423,612,0
3.778,453,282,423,612,0
3.780,453,282,423,612,0
3.782,453,282,424,612,0
3.784,453,283,424,612,0
3.791,453,283,424,612,0
3.793,453,283,424,612,0
3.794,453,283,424,612,0
3.797,453,283,424,612,0
3.799,453,283,424,612,0
3.810,453,283,424,612,0
3.812,453,283,424,612,0
3.813,453,283,424,612,0
3.820,453,283,424,612,0
3.823,453,283,424,612,0
3.826,453,283,424,612,0
3.829,453,283,424,612,0
3.840,453,283,424,612,0
3.842,453,283,424,612,0
3.844,453,283,424,612,0
3.846,453,283,424,612,0
3.853,453,283,424,612,0
3.855,453,283,424,612,0
3.857,453,283,424,612,0
3.859,453,283,424,612,0
3.861,453,283,424,612,0
3.872,453,283,423,612,0
3.874,453,283,423,612,0
3.883,453,283,423,612,0
3.884,453,283,423,612,0
3.887,453,283,423,612,0
3.889,453,283,423,612,0
3.891,453,283,423,612,0
3.902,453,282,423,612,0
3.905,453,282,423,612,0
3.907,453,282,423,612,0
3.914,453,282,423,612,0
3.917,453,282,423,612,0
3.919,453,282,423,612,0
3.921,453,282,423,612,0
3.924,453,282,423,612,0
